"ch1","ch2","overlap"
"戌","戍","78"
"己","已","76"
"材","村","75"
"困","固","71"
"已","巳","70"
"問","門","68"
"未","朱","68"
"戍","成","68"
"閹","閼","68"
"悶","門","67"
"鴒","鴿","67"
"揩","楷","66"
"代","伐","66"
"囚","因","66"
"閒","閘","66"
"巳","巴","66"
"閃","閏","66"
"竽","竿","66"
"閏","閔","66"
"斤","斥","66"
"閂","閃","65"
"開","閔","65"
"門","閂","65"
"詰","誥","65"
"冉","再","64"
"因","困","64"
"因","固","64"
"戌","成","64"
"毋","母","64"
"己","巳","64"
"閏","閩","64"
"川","州","64"
"閒","間","63"
"開","閏","63"
"閡","閨","63"
"批","枇","63"
"閉","閑","63"
"姻","𪜶","63"
"閔","閩","63"
"延","廷","63"
"開","間","63"
"大","太","63"
"閃","閔","63"
"伏","伙","62"
"丸","九","62"
"勻","勾","62"
"叨","叼","62"
"凹","回","62"
"恪","烙","62"
"几","凡","62"
"圃","圖","62"
"間","閘","62"
"今","令","62"
"閂","閘","62"
"胭","胴","62"
"閘","閩","62"
"未","末","62"
"間","閔","61"
"間","閩","61"
"開","閘","61"
"閃","開","61"
"藺","蘭","61"
"閂","闊","61"
"正","王","61"
"閂","閩","61"
"玉","王","61"
"閃","閻","61"
"已","巴","61"
"閉","間","60"
"閉","閘","60"
"閡","闊","60"
"閂","間","60"
"閣","閻","60"
"開","閒","60"
"閻","闊","60"
"闈","闋","60"
"闈","闔","60"
"閔","閻","60"
"闖","闡","60"
"閡","闆","60"
"問","悶","60"
"頌","頒","60"
"天","夭","60"
"閉","閔","60"
"囚","困","60"
"閂","閔","60"
"決","泱","59"
"迭","造","59"
"閤","閩","59"
"搾","榨","59"
"開","閻","59"
"岡","罔","59"
"閒","閻","59"
"揀","棟","59"
"閨","閩","59"
"位","拉","59"
"闌","闡","59"
"匝","臣","59"
"颶","颺","59"
"各","吝","59"
"閔","閘","59"
"拮","桔","59"
"閘","閨","59"
"壬","王","59"
"閂","閻","59"
"折","析","59"
"閡","闈","59"
"戊","戌","59"
"閉","開","59"
"囤","國","59"
"閩","閻","58"
"閂","閏","58"
"閃","間","58"
"閨","闊","58"
"闈","闡","58"
"閡","闌","58"
"閨","闡","58"
"仍","扔","58"
"閘","闊","58"
"扶","挾","58"
"閂","開","58"
"悶","閂","58"
"閒","閤","58"
"乎","平","58"
"閂","閒","58"
"刀","刃","58"
"閤","閻","58"
"冶","治","58"
"閒","閩","58"
"戊","戍","58"
"閔","閣","58"
"囚","固","58"
"閏","閘","58"
"兌","兒","58"
"闈","闖","58"
"漬","潰","58"
"闋","關","58"
"祇","祗","58"
"頂","頊","58"
"脹","賬","58"
"閒","閔","58"
"束","柬","58"
"闔","闖","58"
"櫝","犢","58"
"門","閃","58"
"槽","糟","58"
"閡","閣","58"
"晝","畫","58"
"閩","闊","58"
"趄","趑","58"
"門","閉","58"
"趄","趖","58"
"閘","閤","57"
"闌","闖","57"
"閣","闆","57"
"闋","闡","57"
"閉","閒","57"
"閏","間","57"
"闌","闔","57"
"閏","閻","57"
"闊","闋","57"
"闊","闖","57"
"閤","閨","57"
"潤","澗","57"
"閃","閘","57"
"枉","柱","57"
"閡","闔","57"
"速","連","57"
"閡","闋","57"
"束","耒","57"
"闋","闖","57"
