"ch","part","comp","whole","idx","len","x","y","w","h"
"鍌","0","洗","洗","0","0","28","11","213","119"
"鍌","1","金","金","0","0","22","122","216","121"
"㠲","0","巾","幕","10","3","25","15","75","227"
"㠲","1","匕","匕","0","0","142","21","94","219"
"㠿","0","此","些","0","6","16","10","218","105"
"㠿","1","巾","巾","0","0","51","124","153","118"
"㽴","0","疒","癥","0","5","21","17","218","228"
"㽴","1","丈","丈","0","0","79","77","157","161"
"䀶","0","目","苜","3","5","29","42","56","177"
"䀶","1","良","琅","4","7","117","23","119","209"
"䁾","0","目","苜","3","5","24","32","49","184"
"䁾","1","蔑","襪","5","15","77","15","160","233"
"䋃","0","糹","納","0","6","14","27","98","213"
"䋃","1","毛","毽","0","4","109","26","130","219"
"䋽","0","糹","紀","0","6","13","28","76","213"
"䋽","1","封","封","0","0","92","20","150","212"
"䌤","0","糹","紐","0","6","11","29","84","206"
"䌤","1","爾","邇","3","14","91","29","149","211"
"䍮","0","羊","翔","0","6","5","16","109","224"
"䍮","1","兆","佻","2","6","100","20","145","223"
"䐞","0","肉","臍","0","6","35","17","45","218"
"䐞","1","弱","弱","0","0","100","24","134","216"
"䡑","0","車","輔","0","7","3","9","117","237"
"䡑","1","民","民","0","0","128","22","118","219"
"䡟","0","車","輕","0","7","2","12","115","230"
"䡟","1","卑","牌","4","8","112","19","134","225"
"䡦","0","車","斬","0","7","5","13","103","230"
"䡦","1","桑","桑","0","0","92","29","149","216"
"䩞","0","革","革","0","0","9","25","113","211"
"䩞","1","占","拈","3","5","135","20","104","220"
"䪗","0","韋","韋","0","0","7","24","106","213"
"䪗","1","叚","瑕","4","9","120","33","125","216"
"亍","0","一","戌","5","1","31","38","182","42"
"亍","1","丁","丁","0","0","12","96","222","133"
"亢","0","亠","育","0","2","25","13","216","47"
"亢","1","几","咒","6","2","32","101","201","138"
"仉","0","亻","作","0","2","7","21","72","211"
"仉","1","几","凡","0","2","72","42","168","203"
"仨","0","亻","作","0","2","14","20","62","214"
"仨","1","三","三","0","0","84","47","151","187"
"仵","0","亻","作","0","2","19","14","54","227"
"仵","1","午","杵","4","4","69","15","170","230"
"伎","0","亻","作","0","2","19","14","54","233"
"伎","1","支","吱","3","4","69","20","169","216"
"佈","0","亻","備","0","2","11","21","61","220"
"佈","1","布","鈽","8","5","74","16","169","225"
"佚","0","亻","作","0","2","11","19","60","222"
"佚","1","失","軼","7","5","70","16","171","229"
"佪","0","亻","仇","0","2","20","14","50","229"
"佪","1","回","茴","3","6","105","43","127","199"
"佶","0","亻","備","0","2","20","14","50","229"
"佶","1","吉","結","6","6","76","13","168","229"
"佼","0","亻","作","0","2","20","14","50","229"
"佼","1","交","蛟","6","6","81","15","153","225"
"侄","0","亻","仇","0","2","20","14","50","229"
"侄","1","至","至","0","0","72","38","174","200"
"侔","0","亻","作","0","2","20","15","50","229"
"侔","1","牟","牟","0","0","74","11","165","242"
"侗","0","亻","佞","0","2","20","14","50","229"
"侗","1","同","同","0","0","101","22","128","219"
"侷","0","亻","備","0","2","12","22","55","213"
"侷","1","局","局","0","0","75","24","149","229"
"倜","0","亻","備","0","2","11","24","61","216"
"倜","1","周","週","3","8","74","21","154","222"
"偈","0","亻","備","0","2","13","17","57","225"
"偈","1","曷","葛","3","9","83","25","151","216"
"僂","0","亻","備","0","2","10","18","63","224"
"僂","1","婁","髏","9","11","71","16","169","224"
"僉","0","亼","食","0","3","12","13","219","94"
"僉","1","口","咸","6","3","49","111","50","63"
"僉","2","口","噩","13","3","141","110","58","65"
"僉","3","人","臾","6","2","8","179","108","65"
"僉","4","人","人","0","0","110","179","99","65"
"僬","0","亻","仇","0","2","17","16","53","229"
"僬","1","焦","憔","3","12","78","18","168","226"
"儆","0","亻","作","0","2","5","13","53","237"
"儆","1","敬","警","0","13","58","20","184","220"
"儕","0","亻","倀","0","2","10","18","53","229"
"儕","1","齊","齋","0","14","63","16","175","225"
"儺","0","亻","備","0","2","1","13","47","230"
"儺","1","難","灘","3","19","52","19","194","224"
"儻","0","亻","備","0","2","10","18","53","230"
"儻","1","黨","黨","0","0","76","15","168","230"
"冪","0","冖","鬱","14","2","1","6","240","50"
"冪","1","幕","幕","0","0","14","39","208","211"
"剮","0","咼","過","3","9","20","26","124","202"
"剮","1","刂","釗","8","2","183","19","43","215"
"劊","0","會","會","0","0","11","13","163","229"
"劊","1","刂","剋","7","2","183","21","45","219"
"劭","0","召","迢","3","5","24","28","102","200"
"劭","1","力","功","3","2","125","13","107","232"
"勠","0","翏","戮","0","11","10","23","141","215"
"勠","1","力","勸","17","2","148","14","91","226"
"勺","0","勹","匆","0","2","24","10","205","245"
"勺","1","丶","戍","5","1","94","107","68","87"
"匜","0","匚","匝","0","2","28","27","201","196"
"匜","1","也","也","0","0","49","43","176","157"
"匭","0","匚","匝","0","2","19","25","217","205"
"匭","1","軌","軌","0","0","40","33","196","178"
"厘","0","厂","厲","0","2","11","21","226","216"
"厘","1","里","裡","5","7","48","68","195","160"
"叶","0","口","噩","13","3","18","34","63","149"
"叶","1","十","什","2","2","85","18","159","234"
"吰","0","口","噩","13","3","18","31","57","161"
"吰","1","厷","宏","3","4","75","12","158","230"
"吽","0","口","噩","13","3","14","40","51","154"
"吽","1","牛","牛","0","0","79","27","158","222"
"呦","0","口","噩","13","3","23","32","47","150"
"呦","1","幼","幼","0","0","74","27","152","208"
"咂","0","口","噩","13","3","15","28","53","145"
"咂","1","匝","匝","0","0","94","25","147","211"
"咧","0","口","咸","6","3","18","30","48","155"
"咧","1","列","裂","0","6","72","22","156","216"
"咩","0","口","噩","13","3","17","33","49","157"
"咩","1","羊","佯","2","6","86","23","152","216"
"咾","0","口","噩","13","3","19","38","52","150"
"咾","1","老","姥","3","6","84","21","151","223"
"咿","0","口","哀","6","3","17","22","42","150"
"咿","1","伊","伊","0","0","63","21","173","222"
"哆","0","口","咸","6","3","22","27","50","150"
"哆","1","多","移","5","6","80","17","158","227"
"哞","0","口","咸","6","3","17","38","54","150"
"哞","1","牟","牟","0","0","81","11","151","236"
"哧","0","口","噩","13","3","14","25","54","150"
"哧","1","赤","赤","0","0","73","22","170","215"
"哳","0","口","咸","6","3","16","37","45","150"
"哳","1","折","浙","3","7","76","22","164","215"
"哽","0","口","噩","13","3","13","25","54","150"
"哽","1","更","梗","4","7","75","23","171","218"
"唄","0","口","噩","13","3","23","30","54","150"
"唄","1","貝","貳","5","7","84","27","151","215"
"唇","0","辰","辰","0","0","17","22","208","144"
"唇","1","口","噩","13","3","73","172","126","59"
"唏","0","口","噩","13","3","18","31","47","138"
"唏","1","希","希","0","0","62","16","169","231"
"唵","0","口","哀","6","3","20","34","47","148"
